date,total_value
2026-02-19,99672.30632001015
2026-02-20,101667.6625419174
2026-02-23,100000.98411758724
2026-02-24,101176.76933508556
2026-02-25,103725.58081231595
2026-02-26,100581.45737991488
2026-02-27,100574.99795108181
2026-03-02,100272.45133447554
2026-03-03,95900.25244841655
2026-03-04,98819.06946801307
2026-03-05,97077.74004819915
2026-03-06,92926.70912243698
2026-03-09,97644.54563097545
2026-03-10,97778.05262080791
2026-03-11,99278.57470147843
2026-03-12,97060.00052319693
2026-03-13,98436.41694177466
2026-03-16,102124.41947991704
2026-03-17,103617.0559659233
2026-03-18,101622.0435311786
2026-03-19,103539.24966513879
2026-03-20,98726.9647851059
2026-03-23,99679.90473898021
2026-03-24,100757.616312632
2026-03-25,100886.96130726201
2026-03-26,95543.69920452515
2026-03-27,94687.05840226782
2026-03-30,91082.34572490495
2026-03-31,96040.26328475232
2026-04-01,98897.80028155418
2026-04-02,99121.70985166423
2026-04-06,101456.55127183405
2026-04-07,102861.56442904258
2026-04-08,107915.77546154206
2026-04-09,109233.76128889514
2026-04-10,108977.49341728707
