ticker,weight
LRCX,0.07999999999997162
MU,0.07999999999997162
TER,0.07999999999996817
AMAT,0.0799999999999511
WDC,0.07999999999993236
STX,0.07999999999992916
ASML,0.07999999999992018
TSM,0.07999999999991186
UMC,0.07999999999983501
NOK,0.07999999999887072
ERIC,0.07999999999885464
GOOGL,0.079999999998845
INTC,0.025983810806144064
CSCO,0.01401618919377906
KLAC,1.494406384982624e-12
AMD,9.90984413064414e-13
MPWR,5.58605699672497e-13
MRVL,1.5330727657040802e-13
TEAM,1.1769592310546982e-13
SHOP,7.690062904443815e-14
PLTR,6.123401334086801e-14
MCHP,5.888228820869529e-14
DELL,5.54979898230903e-14
NXPI,4.694185501230494e-14
ON,4.3388024034481957e-14
TSLA,4.1267349748137395e-14
QRVO,4.108035880935805e-14
AVGO,3.935001612460283e-14
SWKS,3.5451974041893715e-14
NET,3.458219042988821e-14
HPQ,3.4572423586264465e-14
NOW,2.4518633984982918e-14
ORCL,2.2328600608351147e-14
SNOW,2.2145408528554602e-14
CRWD,2.199836211735397e-14
QCOM,2.1751831995468973e-14
NVDA,2.1460678634031016e-14
PYPL,1.9580566484983483e-14
HPE,1.9064290377883906e-14
STM,1.6424185542214785e-14
FTNT,1.5997388793499336e-14
ANET,1.3591167550233271e-14
NTAP,6.95882368741787e-15
CRM,2.4747569329829487e-15
AMZN,1.752476806545448e-15
META,1.271048521793994e-15
TXN,0.0
ADI,0.0
MSFT,0.0
AAPL,0.0
IBM,0.0
ADBE,0.0
INTU,0.0
PANW,0.0
DDOG,0.0
MDB,0.0
ZS,0.0
OKTA,0.0
